#NAME SDSSID RA DEC R_PET R_PET_ERR I_MOD I_MOD_ERR G_MOD G_MOD_ERR N_FIRST FIRST_TOTINTFLUX N_NVSS NVSS_TOTINTFLUX Z QOP ZSOURCE OIII_SN EW_OIII VISCLASS BESTCLASS HI_COMP ZSOURCE_TARGET DISAGREE_GAMA NAME RA_deg DEC_deg W1 W1err W2 W2err W3 W3err W4 W4err
J000003.91+001653.6 587731186740822332 0.01630 0.28156 19.623 0.072 18.695 0.026 21.023 0.081 1 0.70 0 -99.000 0.45210 3 SDSS 2.78 1.45 NA LERG 0 -1 -1 J000003.91+001653.6 0.016300 0.281560 14.969 0.036 14.870 0.078 12.105 0.000 8.830 0.000
J000027.88-010235.4 587731185130209677 0.11617 -1.04317 19.011 0.050 17.843 0.022 20.220 0.088 1 10.41 1 12.400 0.43873 4 SDSS 2.39 1.62 NA LERG 0 -1 -1 J000027.88-010235.4 0.116170 -1.043170 14.533 0.030 14.370 0.055 12.365 0.000 8.709 0.000
J000049.32-005042.9 587731185130274966 0.20550 -0.84527 18.682 0.063 18.155 0.018 20.362 0.057 1 16.26 1 18.370 0.41119 5 SDSS -0.51 -0.17 NA LERG 0 -1 -1 J000049.32-005042.9 0.205500 -0.845270 14.599 0.032 14.424 0.061 12.004 0.000 8.973 0.000
J000051.56+001202.5 588015509269447227 0.21486 0.20071 20.299 0.061 19.990 0.036 22.021 0.097 1 2.64 1 2.400 3.83750 4 SDSS .. .. AeB AeB 0 -1 -1 J000051.56+001202.5 0.214860 0.200710 15.872 0.055 15.425 0.116 11.820 0.000 8.476 0.000
J000052.91+003044.5 588015509806317759 0.22050 0.51237 19.112 0.069 18.450 0.024 20.722 0.075 3 13.52 1 15.600 0.33979 5 SDSS 2.92 1.21 NA LERG 0 -1 -1 J000052.91+003044.5 0.220500 0.512370 15.242 0.040 15.061 0.085 12.554 0.000 9.044 0.000
J000111.19-002011.5 588015508732641293 0.29666 -0.33653 18.503 0.014 18.190 0.010 18.556 0.009 2 50.04 1 55.991 0.51794 5 SDSS .. .. AeB AeB 0 -1 -1 J000111.19-002011.5 0.296660 -0.336530 14.026 0.027 13.051 0.029 10.628 0.110 8.036 0.276
J000113.44-005934.5 587731185130274947 0.30604 -0.99293 17.471 0.017 16.899 0.007 18.596 0.014 1 3.76 1 4.400 0.08482 3 SDSS 5.40 2.38 NA SF 0 -1 -1 J000113.44-005934.5 0.306040 -0.992930 13.147 0.024 12.633 0.026 8.450 0.024 6.124 0.052
J000117.80-005612.0 587731185130340514 0.32418 -0.93667 17.434 0.027 16.781 0.008 18.764 0.021 1 3.33 1 4.600 0.24740 5 SDSS 0.89 0.14 NA LERG 0 -1 -1 J000117.80-005612.0 0.324180 -0.936670 14.031 0.027 13.723 0.039 12.225 0.000 8.645 0.000
J000121.46-001140.2 587731186204082355 0.33945 -0.19451 19.377 0.036 18.946 0.017 19.910 0.020 1 78.59 1 110.600 0.46145 3 SDSS 1.10 1.09 NA LERG 0 -1 -1 J000121.46-001140.2 0.339450 -0.194510 14.977 0.035 14.459 0.055 12.097 0.374 8.450 0.000
J000140.34-010636.8 588015507658965156 0.41812 -1.11024 18.185 0.022 17.817 0.013 19.155 0.020 1 13.01 1 13.400 0.22611 3 SDSS 2.75 1.02 NA LERG 0 -1 -1 J000140.34-010636.8 0.418120 -1.110240 14.445 0.030 13.907 0.044 10.126 0.064 7.761 0.174
